url	industry	subIndustry
http://armaankhandesigns.com/	Garment , Textile, E-Commerce	Fashion Designers
http://www.aviragold.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.aviratefashion.in/	Retail, E-Commerce	Apparel Stores
http://myratna.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.babycouture.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.beebaykids.com/	Garment , Textile, E-Commerce	Readymade Garments
http://bestsellerclothing.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.walkerstyleways.com/	E-Commerce, Leather , Accessories	
http://www.bharatsthali.com/	Garment , Textile, E-Commerce	Readymade Garments
http://base.kartrocket.co/	Garment , Textile, E-Commerce	Readymade Garments
http://www.bonjourretail.com/	Retail, E-Commerce	Apparel Stores
http://www.bunaai.com/	Garment , Textile, E-Commerce	Readymade Garments, Furnishings
http://www.butterflyfields.com/	Garment , Textile, E-Commerce	Readymade Garments
http://campussutra.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.charaghdin.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.charu.org.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.chumbak.com/	Retail, E-Commerce	Apparel Stores, Gift & Decorative Items, Personal Care
http://cliffclimbers.net/	Entertainment , Online Games, Garment , Textile, E-Commerce, Leather , Accessories	Sports ,Toys, Entertainment Products, Readymade Garments
http://www.usplworld.com/	Garment , Textile, E-Commerce	Readymade Garments
http://statusquo.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.desiethnicity.com/	Garment , Textile, E-Commerce	Readymade Garments
http://discoverdiva.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.dress365days.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.ejohri.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.eschoolbuddy.com/	Retail, E-Commerce	Apparel Stores
http://www.etashee.com/	Garment , Textile, E-Commerce	Readymade Garments
http://fabriclore.com/	Garment , Textile, E-Commerce	Yarn , Fibre , Thread , Textile , Accessories
http://www.fayonkids.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.filmyvastra.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.fourseven.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.gocoop.com/	Garment , Textile, E-Commerce	Yarn , Fibre , Thread , Textile , Accessories, Readymade Garments
http://fashiano.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.thepostbox.in/	E-Commerce, Leather , Accessories	
http://www.houseofmasaba.com/	Retail, E-Commerce	Apparel Stores, Personal Care
http://www.hpsingh.com/	Garment , Textile, E-Commerce	Yarn , Fibre , Thread , Textile , Accessories, Furnishings
http://latin-quarters.com/	Garment , Textile, E-Commerce	Readymade Garments
http://612league.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.indiansilkhouse.com/	Exporters , Importers, Gems , Jewellery , Watches, Garment , Textile, E-Commerce	Readymade Garments, Exporters , Importers , Commodity Traders, Gems , Jewellery
http://www.esbeda.com/	E-Commerce, Leather , Accessories	
http://www.jainson.co.in/	Garment , Textile, E-Commerce	Readymade Garments
http://www.jewelxy.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.johareez.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://johribazaaronline.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.jrsilks.com/	Retail, E-Commerce	Apparel Stores
http://julietindia.in/	Garment , Textile, E-Commerce	Readymade Garments
http://kiikii.in/	Garment , Textile, E-Commerce	Readymade Garments
http://krate.in/	Retail, E-Commerce	Apparel Stores
http://kruvsfashion.com/	Garment , Textile, E-Commerce	Readymade Garments
http://kuberbox.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://lastinch.in/	Exporters , Importers, Garment , Textile, E-Commerce, Cosmetic , Beauty & Wellness	Readymade Garments, Exporters , Importers , Commodity Traders
http://www.karabags.com/	E-Commerce, Leather , Accessories	
http://www.themerchbay.com/	Retail, E-Commerce	Apparel Stores
http://www.moralfibre-fabrics.com/	Garment , Textile, E-Commerce	Yarn , Fibre , Thread , Textile , Accessories, Readymade Garments
http://www.mylittlelambs.in/	Garment , Textile, E-Commerce	Readymade Garments, Furnishings
http://www.mysoresareeudyog.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.nappadori.com/	Retail, E-Commerce	Leather & Accessories
http://www.privypleasures.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.20dresses.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.papilior.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.parthas.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.shardasarees.com/	Garment , Textile, E-Commerce	Readymade Garments
http://pashtush.in/	Garment , Textile, E-Commerce	Readymade Garments
http://zariin.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.pinustore.com/	Garment , Textile, E-Commerce	Readymade Garments
http://www.pipabella.com/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.rashiratanjaipur.net/	Gems , Jewellery , Watches, E-Commerce	Gems , Jewellery
http://www.cubmcpaws.com/	Garment , Textile, E-Commerce	Readymade Garments
